FID,Observatio,Common_Nam,Scientific,Species_Of,OBSERVAT_3,TRS,COUNTY,LOCATION_C,LATITUDE,LONGITUDE,Field_Date1,Field_Date2,Field_Date3,Field_Date4,FieldResults1,FieldResults2,FieldResults3,FeildResults4,Kingdom,Phylum,Class,Family,Order_
0,2,Greater Sage Grouse,Centrocoercus urophasianus,Concern,Crow Conservation Plan Leks,T4S R29E Sec 8,Bighorn,Lek 1,45.5,108.16,5/2/2017,5/3/2017,,,0 males 0 females,0 males 0 females, , ,Animalia,Chordata,Aves,"Phasianidae -turkeys, grouse, pheasants, quail","Galliformes -fowls, gallinaceaous birds"
1,3,Greater Sage Grouse,Centrocoercus urophasianus,Concern,Crow Conservation Plan Leks,T2S R29E Sec 20,Yellowstone,Lek 3,45.54,108.1,4/23/2017,5/3/2017,5/12/2017,,13 males 1 female,13 males 0 females,0 males 0 females, ,Animalia,Chordata,Aves,"Phasianidae -turkeys, grouse, pheasants, quail","Galliformes -fowls, gallinaceaous birds"
2,2,Greater Sage Grouse,Centrocoercus urophasianus,Concern,Crow Conservation Plan Leks,T3S R29E Sec 26,Yellowstone,Lek 2,45.64,108.17,5/2/2017,5/3/2017,,,0 males 0 females,0 males 0 females, , ,Animalia,Chordata,Aves,"Phasianidae -turkeys, grouse, pheasants, quail","Galliformes -fowls, gallinaceaous birds"
3,2,Greater Sage Grouse,Centrocoercus urophasianus,Concern,Crow Conservation Plan Leks,T4S R25E Sec 15,Yellowstone,Lek 4,45.49,108.62,4/30/2017,5/12/2017,,,4 males 12 females,15 males 3 females, , ,Animalia,Chordata,Aves,"Phasianidae -turkeys, grouse, pheasants, quail","Galliformes -fowls, gallinaceaous birds"
4,4,Greater Sage Grouse,Centrocoercus urophasianus,Concern,Crow Conservation Plan Leks,T3S R31E Sec 28,Bighorn,Lek 5,45.54,107.89,3/29/2017,4/23/2017,4/30/2017,5/3/2017,95 males 25 females,90 males 0 females,0 male 1 female,65 males 17 females,Animalia,Chordata,Aves,"Phasianidae -turkeys, grouse, pheasants, quail","Galliformes -fowls, gallinaceaous birds"
5,3,Greater Sage Grouse,Centrocoercus urophasianus,Concern,Crow Conservation Plan Leks,T3S R31E Sec 25,Bighorn,Lek 6,45.54,107.84,4/23/2017,5/3/2017,5/13/2017,,13 males 6 females,17 males 1 female,8 males 24 females, ,Animalia,Chordata,Aves,"Phasianidae -turkeys, grouse, pheasants, quail","Galliformes -fowls, gallinaceaous birds"
6,3,Greater Sage Grouse,Centrocoercus urophasianus,Concern,Crow Conservation Plan Leks,T9S R38E Sec 11,Bighorn,Lek 7,45.08,107.02,4/7/2017,4/20/2017,5/5/2017,,10 males 2 females,10 males 0 females,8 males 1 female, ,Animalia,Chordata,Aves,"Phasianidae -turkeys, grouse, pheasants, quail","Galliformes -fowls, gallinaceaous birds"
7,2,Greater Sage Grouse,Centrocoercus urophasianus,Concern,Additional Leks,T3S R32E Sec 18,Bighorn,Lek 8,45.57,107.81,4/23/2017,5/3/2017,,,0 males 0 females,0 males 0 females, , ,Animalia,Chordata,Aves,"Phasianidae -turkeys, grouse, pheasants, quail","Galliformes -fowls, gallinaceaous birds"
8,1,Greater Sage Grouse,Centrocoercus urophasianus,Concern,Additional Leks,T3S R32E Sec 21,Bighorn,Lek 9,45.33,107.46,4/23/2017,,,,0 males 2 females, , , ,Animalia,Chordata,Aves,"Phasianidae -turkeys, grouse, pheasants, quail","Galliformes -fowls, gallinaceaous birds"
9,1,Greater Sage Grouse,Centrocoercus urophasianus,Concern,Additional Leks,T4S R31E Sec 3,Bighorn,Lek 10,45.3,107.52,3/29/2017,,,,2 males 2 females, , , ,Animalia,Chordata,Aves,"Phasianidae -turkeys, grouse, pheasants, quail","Galliformes -fowls, gallinaceaous birds"
10,1,Greater Sage Grouse,Centrocoercus urophasianus,Concern,Additional Leks,T3S R31E Sec 33,Bighorn,Lek 11,45.31,107.53,4/23/2017,,,,1 male 0 female, , , ,Animalia,Chordata,Aves,"Phasianidae -turkeys, grouse, pheasants, quail","Galliformes -fowls, gallinaceaous birds"
11,1,Greater Sage Grouse,Centrocoercus urophasianus,Concern,Additional Leks,T3S R31E Sec 28,Bighorn,Lek 12,45.32,107.63,4/23/2017,,,,2 males 0 females, , , ,Animalia,Chordata,Aves,"Phasianidae -turkeys, grouse, pheasants, quail","Galliformes -fowls, gallinaceaous birds"
